Index,Collected,True Label,New Label
0,0,,
1,0,,
2,0,,
3,1,,
4,0,,
5,1,,
6,0,,
7,1,,
8,0,,
9,1,,
10,0,,
11,1,,
12,0,,
13,1,,
14,0,,
15,1,,
16,0,,
17,1,,
18,0,,
19,1,,
20,0,,
21,1,,
22,0,,
23,1,,
24,0,,
25,1,,
26,0,,
27,1,,
28,0,,
29,1,,
30,0,,
31,1,,
32,0,,
33,1,,
34,0,,
35,1,,
36,0,,
37,1,,
38,0,,
39,1,,
40,0,,
41,1,,
42,0,,
43,1,,
44,0,,
45,1,,
46,0,,
47,1,,
48,0,,
49,1,,
50,0,,
51,1,,
52,0,,
53,1,,
54,0,,
55,1,,
56,0,,
57,1,,
58,0,,
59,1,,
60,0,,
61,1,,
62,0,,
63,1,,
64,0,,
65,1,,
66,0,,
67,1,,
68,0,,
69,1,,
70,0,,
71,1,,
72,0,,
73,1,,
74,0,,
75,1,,
76,0,,
77,1,,
78,0,,
79,1,,
80,0,,
81,1,,
82,0,,
83,1,,
84,0,,
85,1,,
86,0,,
87,1,,
88,0,,
89,1,,
90,0,,
91,1,,
92,0,,
93,1,,
94,0,,
95,1,,
96,0,,
97,1,,
98,0,,
99,1,,
100,0,,
101,1,,
102,0,,
103,1,,
104,0,,
105,1,,
106,0,,
107,1,,
108,0,,
109,1,,
110,0,,
111,1,,
112,0,,
113,1,,
114,0,,
115,1,,
116,0,,
117,1,,
118,0,,
119,1,,
120,0,,
121,1,,
122,0,,
123,1,,
124,0,,
125,1,,
126,0,,
127,1,,
128,0,,
129,1,,
130,0,,
131,1,,
132,0,,
133,1,,
134,0,,
135,1,,
136,0,,
137,1,,
138,0,,
139,1,,
140,0,,
141,1,,
142,0,,
143,1,,
144,0,,
145,1,,
146,0,,
147,1,,
148,0,,
149,1,,
150,0,,
151,1,,
152,0,,
153,1,,
154,0,,
155,1,,
156,0,,
157,1,,
158,0,,
159,1,,
160,0,,
161,1,,
162,0,,
163,1,,
164,0,,
165,1,,
166,0,,
167,1,,
168,0,,
169,1,,
170,0,,
171,1,,
172,0,,
173,1,,
174,0,,
175,1,,
176,0,,
177,1,,
178,0,,
179,1,,
180,0,,
181,1,,
182,0,,
183,1,,
184,0,,
185,1,,
186,0,,
187,1,,
188,0,,
189,1,,
190,0,,
191,1,,
192,0,,
193,1,,
194,0,,
195,1,,
196,0,,
197,1,,
198,0,,
199,1,,
200,0,,
201,1,,
202,0,,
203,1,,
204,0,,
205,1,,
206,0,,
207,1,,
208,0,,
209,1,,
210,0,,
211,1,,
212,0,,
213,1,,
214,0,,
215,1,,
216,0,,
217,1,,
218,0,,
219,1,,
220,0,,
221,1,,
222,0,,
223,1,,
224,0,,
225,1,,
226,0,,
227,1,,
228,0,,
229,1,,
230,0,,
231,1,,
232,0,,
233,1,,
234,0,,
235,1,,
236,0,,
237,1,,
238,0,,
239,1,,
240,0,,
241,1,,
242,0,,
243,1,,
244,0,,
245,1,,
246,0,,
247,0,,
248,0,,
249,1,,
250,0,,
251,1,,
252,0,,
253,1,,
254,0,,
255,0,,
256,0,,
257,1,,
258,0,,
259,1,,
260,0,,
261,1,,
262,0,,
263,1,,
264,0,,
265,1,,
266,0,,
267,1,,
268,0,,
269,1,,
270,0,,
271,1,,
272,0,,
273,1,,
274,0,,
275,1,,
276,0,,
277,1,,
278,0,,
279,1,,
280,0,,
281,1,,
282,0,,
283,1,,
284,0,,
285,1,,
286,0,,
287,1,,
288,0,,
289,1,,
290,0,,
291,1,,
292,0,,
293,1,,
294,0,,
295,1,,
296,0,,
297,1,,
298,0,,
299,1,,
300,0,,
301,1,,
302,0,,
303,1,,
304,0,,
305,1,,
306,0,,
307,1,,
308,0,,
309,1,,
310,0,,
311,1,,
312,0,,
313,1,,
314,0,,
315,1,,
316,0,,
317,1,,
318,0,,
319,1,,
320,0,,
321,1,,
322,0,,
323,1,,
324,0,,
325,1,,
326,0,,
327,1,,
328,0,,
329,1,,
330,0,,
331,1,,
332,0,,
333,1,,
334,0,,
335,1,,
336,0,,
337,1,,
338,0,,
339,1,,
340,0,,
341,1,,
342,0,,
343,1,,
344,0,,
345,1,,
346,0,,
347,1,,
348,0,,
349,1,,
350,0,,
351,1,,
352,0,,
