Index,True Label,Extracted
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,left outflow tract,
144,left outflow tract,
145,left outflow tract,
146,left outflow tract,
147,left outflow tract,
148,left outflow tract,
149,left outflow tract,
150,left outflow tract,
151,left outflow tract,
152,left outflow tract,
153,left outflow tract,
154,left outflow tract,
155,left outflow tract,
156,left outflow tract,
157,left outflow tract,
158,left outflow tract,
159,left outflow tract,
160,left outflow tract,
161,left outflow tract,
162,left outflow tract,
163,left outflow tract,
164,left outflow tract,
165,left outflow tract,
166,left outflow tract,
167,left outflow tract,
168,left outflow tract,
169,left outflow tract,
170,left outflow tract,
171,left outflow tract,
172,left outflow tract,
173,left outflow tract,
174,left outflow tract,
175,left outflow tract,
176,left outflow tract,
177,left outflow tract,
178,left outflow tract,
179,left outflow tract,
180,left outflow tract,
181,left outflow tract,
182,left outflow tract,
183,left outflow tract,
184,left outflow tract,
185,left outflow tract,
186,left outflow tract,
187,left outflow tract,
188,left outflow tract,
189,left outflow tract,
190,left outflow tract,
191,left outflow tract,
192,left outflow tract,
193,left outflow tract,
194,left outflow tract,
195,left outflow tract,
196,left outflow tract,
197,left outflow tract,
198,left outflow tract,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,right outflow tract,
235,right outflow tract,
236,right outflow tract,
237,right outflow tract,
238,right outflow tract,
239,right outflow tract,
240,right outflow tract,
241,right outflow tract,
242,right outflow tract,
243,right outflow tract,
244,right outflow tract,
245,right outflow tract,
246,right outflow tract,
247,right outflow tract,
248,right outflow tract,
